name,slug,category,tvl_usd,original_tvl,chain_count,allocation_ratio,change_1d,change_7d,change_1m,chains_count,chain,collected_date
Binance CEX,binance-cex,CEX,1238301768.8218398,197099765385.51324,30,0.03333333333333333,-1.039626206106206,1.7676879981024314,0.0,30,Sui,2025-09-16
Gate,gate,CEX,14317517.891310673,8963716266.455442,118,0.00847457627118644,-1.950146914710686,3.651147146465192,0.0,118,Sui,2025-09-16
HTX,htx,CEX,72950020.0083748,7353894169.695168,19,0.05263157894736842,-1.199941233134055,4.375822086824741,0.0,19,Sui,2025-09-16
KuCoin,kucoin,CEX,46656425.9733493,5445935677.970409,22,0.045454545454545456,-1.1538048488848602,4.599795019969633,0.0,22,Sui,2025-09-16
Portal,portal,Bridge,23381934.92306543,2977351081.056942,24,0.041666666666666664,-2.4000596457310763,3.116888919213551,0.0,24,Sui,2025-09-16
Bitstamp,bitstamp,CEX,43705986.91875232,2550773966.6739697,11,0.09090909090909091,-2.2986437974988405,4.649056462837649,0.0,11,Sui,2025-09-16
Ondo Yield Assets,ondo-yield-assets,RWA,26398456.650433335,1400608947.766283,10,0.1,0.3176731535789372,0.19201920114579707,0.0,10,Sui,2025-09-16
Indodax,indodax,CEX,8402204.519265404,757845243.6449091,17,0.058823529411764705,-1.562631532518452,0.8679835139614909,0.0,17,Sui,2025-09-16
Suilend,suilend,Lending,127482760.39513288,676378537.0476848,1,1.0,-3.0348775022354317,1.0012236247997492,0.0,1,Sui,2025-09-16
Phemex,phemex,CEX,6790436.127410031,576442523.1505977,16,0.0625,-0.7517524278978698,1.6053635097138113,0.0,16,Sui,2025-09-16
NAVI Lending,navi-lending,Lending,97711763.09215324,518424131.76318234,1,1.0,-4.421607862093637,-10.143221115653546,0.0,1,Sui,2025-09-16
Bitrue,bitrue,CEX,4159266.205416303,463419571.652874,21,0.047619047619047616,-1.8362881124935484,0.8130131731286525,0.0,21,Sui,2025-09-16
