name,slug,category,tvl_usd,change_1d,change_7d,change_1m,chains_count,chain,collected_date
Binance CEX,binance-cex,CEX,183986914537.16586,-2.064082221428407,-3.312816960891709,0,30,Aptos,2025-08-22
OKX,okx,CEX,28084176876.381107,-1.9269063788699015,-3.20023525792449,0,19,Aptos,2025-08-22
Bitfinex,bitfinex,CEX,27415796297.10329,-0.8430465031471641,-1.8029144163350708,0,20,Aptos,2025-08-22
Bybit,bybit,CEX,23911535342.02556,1.1643398239973521,-0.9714634599277048,0,33,Aptos,2025-08-22
Gate,gate,CEX,8583488495.768843,-1.6106817411610308,-2.798134337635503,0,119,Aptos,2025-08-22
KuCoin,kucoin,CEX,5072438875.502863,-1.3477571915566529,-4.85572577142203,0,22,Aptos,2025-08-22
MEXC,mexc,CEX,4063210424.4279613,-0.6345431718444416,-0.46034993713163885,0,13,Aptos,2025-08-22
Portal,portal,Bridge,2810169203.273112,-2.7501150291220426,-6.1509824547114675,0,24,Aptos,2025-08-22
BlackRock BUIDL,blackrock-buidl,RWA,2376288260.3138537,0.011191131231086615,0.07868641298982482,0,6,Aptos,2025-08-22
HashKey Exchange,hashkey-exchange,CEX,1546359502.8377266,0.5825741428711524,0.9424706965079679,0,13,Aptos,2025-08-22
PancakeSwap AMM,pancakeswap-amm,Dexs,1521641592.0718222,-2.0551537571158036,-0.08433863878188674,0,9,Aptos,2025-08-22
Bitkub,bitkub,CEX,1396824560.5000296,-1.6387068840250834,-6.1169164340627304,0,21,Aptos,2025-08-22
Ondo Finance,ondo-finance,RWA,1394668594.02481,1.6058912119972177,0.7247714748179135,0,9,Aptos,2025-08-22
Franklin Templeton,franklin-templeton,RWA,761338303.9416548,11.076486922307296,9.960283428700876,0,7,Aptos,2025-08-22
Echo Lending,echo-lending,Lending,251830892.7120736,-1.7568244466028915,-5.426931001571319,0,1,Aptos,2025-08-22
Aries Markets,aries-markets,Lending,202382455.11054447,1.042777564985414,-1.3303875548962054,0,1,Aptos,2025-08-22
BloFin,blofin,CEX,154869962.70582741,0.0456448914301717,-3.805950536352128,0,18,Aptos,2025-08-22
Echelon Market,echelon-market,Lending,152980114.04339093,0.4757406296411517,-1.0941326861155858,0,2,Aptos,2025-08-22
Amnis Finance,amnis-finance,Liquid Staking,152358788.0098108,-1.3282809451563509,-7.326974730701181,0,1,Aptos,2025-08-22
