name,slug,category,tvl_usd,change_1d,change_7d,change_1m,chains_count,chain,collected_date,is_outlier,category_clean,tvl_millions,tvl_billions,growth_score,tvl_rank,growth_rank,size_bracket
HTX,htx,CEX,7192147393.60139,-0.5538479694453429,-6.872683259455243,0,19,Sui,2025-08-22,True,Others,7192.14739360139,7.19214739360139,-3.54711122361669,1.0,39.0,>$1B
KuCoin,kucoin,CEX,5072438875.502863,-1.3477571915566529,-4.85572577142203,0,22,Sui,2025-08-22,False,Others,5072.438875502863,5.072438875502863,-2.6974143240223456,2.0,34.0,>$1B
Bitstamp,bitstamp,CEX,3159889521.8932633,-10.193284430997664,-14.618950189332438,0,11,Sui,2025-08-22,False,Others,3159.8895218932635,3.1598895218932634,-9.348131980865752,3.0,68.0,>$1B
Portal,portal,Bridge,2810169203.273112,-2.750115029122042,-6.1509824547114675,0,24,Sui,2025-08-22,False,Bridge,2810.1692032731116,2.810169203273112,-3.625514233180142,4.0,40.0,>$1B
Ondo Finance,ondo-finance,RWA,1394668594.02481,1.6058912119972175,0.7247714748179135,0,9,Sui,2025-08-22,False,Others,1394.66859402481,1.39466859402481,0.6835639798084003,5.0,14.0,>$1B
Indodax,indodax,CEX,735175905.4896984,-1.61234254028831,-2.055873077774649,0,17,Sui,2025-08-22,False,Others,735.1759054896984,0.7351759054896984,-1.3504050469449864,6.0,24.0,$100M-$1B
Suilend,suilend,Lending,645519344.9559454,-3.603019862151129,-6.364949070284553,0,1,Sui,2025-08-22,False,Lending,645.5193449559454,0.6455193449559453,-3.903078507572502,7.0,44.0,$100M-$1B
Phemex,phemex,CEX,558774673.9373019,-0.2854393962383028,-2.143311135057999,0,16,Sui,2025-08-22,False,Others,558.7746739373018,0.5587746739373018,-1.1287434467766602,8.0,23.0,$100M-$1B
NAVI Lending,navi-lending,Lending,557617343.245978,-3.422840128724957,-6.349910852069101,0,1,Sui,2025-08-22,False,Lending,557.617343245978,0.557617343245978,-3.859523451779542,9.0,43.0,$100M-$1B
Bitrue,bitrue,CEX,440526559.1695919,-2.7119793732367867,-3.1811767120892824,0,21,Sui,2025-08-22,False,Others,440.5265591695919,0.4405265591695919,-2.1329842306919984,10.0,29.0,$100M-$1B
SpringSui,springsui,Liquid Staking,263300445.78540805,-1.8387174515878544,-3.016000034441646,0,1,Sui,2025-08-22,False,Liquid Staking,263.30044578540804,0.26330044578540807,-1.875743507538394,11.0,27.0,$100M-$1B
Haedal Protocol,haedal-protocol,Liquid Staking,172280262.9212314,-2.7792886714963885,-5.929088591404096,0,1,Sui,2025-08-22,False,Liquid Staking,172.28026292123138,0.1722802629212314,-3.5204020300013257,12.0,37.0,$100M-$1B
Momentum,momentum,Dexs,163898542.95322195,-0.9386650309175906,0.045330224913556,0,1,Sui,2025-08-22,False,Others,163.89854295322195,0.16389854295322195,-0.16506789372674013,13.0,20.0,$100M-$1B
Libre Capital,libre-capital,RWA,118922705.10641515,0.0013002782595492,0.0401821248585037,0,13,Sui,2025-08-22,False,Others,118.92270510641515,0.11892270510641516,0.02035111808116169,14.0,16.0,$100M-$1B
Flipster,flipster,CEX,113018093.94172296,-1.1972909824458924,-7.855542187974066,0,21,Sui,2025-08-22,False,Others,113.01809394172295,0.11301809394172296,-4.167229290476212,15.0,47.0,$100M-$1B
Cetus AMM,cetus-amm,Dexs,95200655.334425,-3.397216199773027,-8.051857801437592,0,2,Sui,2025-08-22,False,Others,95.20065533442501,0.095200655334425,-4.7053721406734015,16.0,52.0,$10M-$100M
