name,category,tvl_usd,change_1d,change_7d,change_1m,blockchain,category_clean,tvl_millions,tvl_rank,tvl_billions,tvl_log,size_category
HTX,CEX,7192147393.60139,-0.5538479694453429,-6.872683259455243,0,Sui,Others,7192.14739360139,1.0,7.19214739360139,9.856858579110575,>$1B
KuCoin,CEX,5072438875.502863,-1.3477571915566529,-4.85572577142203,0,Sui,Others,5072.438875502863,2.0,5.072438875502863,9.705216822350675,>$1B
Bitstamp,CEX,3159889521.8932633,-10.193284430997664,-14.618950189332438,0,Sui,Others,3159.8895218932635,3.0,3.1598895218932634,9.499671898798507,>$1B
Portal,Bridge,2810169203.273112,-2.750115029122042,-6.1509824547114675,0,Sui,Bridge,2810.1692032731116,4.0,2.810169203273112,9.44873247002448,>$1B
Ondo Finance,RWA,1394668594.02481,1.6058912119972175,0.7247714748179135,0,Sui,Others,1394.66859402481,5.0,1.39466859402481,9.144471021311947,>$1B
Indodax,CEX,735175905.4896984,-1.61234254028831,-2.055873077774649,0,Sui,Others,735.1759054896984,6.0,0.7351759054896984,8.866391265129495,$100M-$1B
Suilend,Lending,645519344.9559454,-3.603019862151129,-6.364949070284553,0,Sui,Lending,645.5193449559454,7.0,0.6455193449559453,8.809909261756168,$100M-$1B
Phemex,CEX,558774673.9373019,-0.2854393962383028,-2.143311135057999,0,Sui,Others,558.7746739373018,8.0,0.5587746739373018,8.747236713801245,$100M-$1B
NAVI Lending,Lending,557617343.245978,-3.422840128724957,-6.349910852069101,0,Sui,Lending,557.617343245978,9.0,0.557617343245978,8.746336272907191,$100M-$1B
Bitrue,CEX,440526559.1695919,-2.7119793732367867,-3.1811767120892824,0,Sui,Others,440.5265591695919,10.0,0.4405265591695919,8.643972096977546,$100M-$1B
SpringSui,Liquid Staking,263300445.78540805,-1.8387174515878544,-3.016000034441646,0,Sui,Liquid Staking,263.30044578540804,11.0,0.26330044578540807,8.420451594396532,$100M-$1B
Haedal Protocol,Liquid Staking,172280262.9212314,-2.7792886714963885,-5.929088591404096,0,Sui,Liquid Staking,172.28026292123138,12.0,0.1722802629212314,8.236235525878772,$100M-$1B
Momentum,Dexs,163898542.95322195,-0.9386650309175906,0.045330224913556,0,Sui,Others,163.89854295322195,13.0,0.16389854295322195,8.214575092739576,$100M-$1B
Libre Capital,RWA,118922705.10641515,0.0013002782595492,0.0401821248585037,0,Sui,Others,118.92270510641517,14.0,0.11892270510641516,8.075264779438276,$100M-$1B
Flipster,CEX,113018093.94172296,-1.1972909824458924,-7.855542187974066,0,Sui,Others,113.01809394172297,15.0,0.11301809394172296,8.053147978615991,$100M-$1B
Cetus AMM,Dexs,95200655.334425,-3.397216199773027,-8.051857801437592,0,Sui,Others,95.200655334425,16.0,0.095200655334425,7.978639937955325,$10M-$100M
Scallop Lend,Lending,93041771.13380475,-2.896672355943565,-9.306254433795942,0,Sui,Lending,93.04177113380476,17.0,0.09304177113380475,7.968677968985191,$10M-$100M
Bluefin Spot,Dexs,86692072.28897563,12.585013565469822,-0.9366739779649152,0,Sui,Others,86.69207228897562,18.0,0.08669207228897563,7.937979384459243,$10M-$100M
Volo,Liquid Staking,83692074.13802686,-3.1073446327683456,-9.018567639257284,0,Sui,Liquid Staking,83.69207413802687,19.0,0.08369207413802686,7.922684331098339,$10M-$100M
AlphaLend,Lending,81055998.60201316,-1.1247128433560365,-8.903901781954332,0,Sui,Lending,81.05599860201316,20.0,0.08105599860201315,7.908785160620102,$10M-$100M
Bucket CDP,CDP,78951311.4823047,0.0364489459593784,8.291812843769122,0,Sui,Others,78.9513114823047,21.0,0.0789513114823047,7.897359348591272,$10M-$100M
Kai Finance,Leveraged Farming,37250263.8874988,-5.7297820123798,-14.543221799860362,0,Sui,Others,37.2502638874988,22.0,0.0372502638874988,7.5711293537146105,$10M-$100M
AlphaFi stSUI,Liquid Staking,35755767.62829043,-5.649816611187333,-18.59709264432702,0,Sui,Liquid Staking,35.75576762829043,23.0,0.03575576762829043,7.553346106195993,$10M-$100M
Bucket Farm,Farm,31054631.581678305,1.3757024234577244,1.0861411043793652,0,Sui,Others,31.054631581678304,24.0,0.031054631581678305,7.492126381335773,$10M-$100M
Aftermath afSUI,Liquid Staking,29222533.162083175,-3.159678187268895,-8.706171676201905,0,Sui,Liquid Staking,29.222533162083177,25.0,0.029222533162083175,7.465717860148252,$10M-$100M
Aftermath AMM,Dexs,25173716.397590313,-3.6447759611615993,-10.340198975043563,0,Sui,Others,25.17371639759031,26.0,0.025173716397590314,7.400947335207555,$10M-$100M
Allbridge Core,Bridge,23269885.53462987,,,0,Sui,Bridge,23.26988553462987,27.0,0.02326988553462987,7.366794246982438,$10M-$100M
AlphaFi Agg,Yield Aggregator,20583102.809832625,-2.9648261659582147,-11.746405258303156,0,Sui,Others,20.583102809832624,28.0,0.020583102809832624,7.313510843294068,$10M-$100M
DeepBook V3,Dexs,20361242.120161604,-3.123357372905076,-9.412493134723192,0,Sui,Others,20.36124212016161,29.0,0.020361242120161605,7.308804268236307,$10M-$100M
Turbos,Dexs,19271483.169746943,8.130967602508889,-2.3571052809812016,0,Sui,Others,19.271483169746944,30.0,0.01927148316974694,7.284915140065384,$10M-$100M
Magma,Dexs,18154039.55126041,-1.2859639091104071,-3.384283809689464,0,Sui,Others,18.15403955126041,31.0,0.018154039551260413,7.258973277285184,$10M-$100M
SpringSui Ecosystem,Liquid Staking,17865292.47746679,13.70250960115655,6.604157299726637,0,Sui,Liquid Staking,17.865292477466788,32.0,0.01786529247746679,7.252010130547423,$10M-$100M
Nemo Vault,Yield Aggregator,15754354.911931207,-1.5892133852052694,,0,Sui,Others,15.754354911931207,33.0,0.015754354911931206,7.197400624969599,$10M-$100M
Mole,Yield,13715981.093894873,0.9904893916755668,-3.95264786832685,0,Sui,Yield Farming,13.715981093894872,34.0,0.013715981093894873,7.137226877811907,$10M-$100M
Typus DOV,Options Vault,11898834.790188272,-2.353477479440201,-15.34320029967394,0,Sui,Others,11.898834790188271,35.0,0.011898834790188271,7.0755044345884786,$10M-$100M
STEAMM,Dexs,10220898.88015128,,,0,Sui,Others,10.22089888015128,36.0,0.010220898880151279,7.0094890916424415,$10M-$100M
DoubleUp,Prediction Market,9993835.464529846,-2.7937938990421287,-18.45872608900683,0,Sui,Others,9.993835464529846,37.0,0.009993835464529846,6.999732195073049,$1M-$10M
xSui,Liquid Staking,9496524.930710567,36.846892482472384,16.127100463905336,0,Sui,Liquid Staking,9.496524930710567,38.0,0.009496524930710567,6.97756471270834,$1M-$10M
Metastable,CDP,9398206.98703869,-4.87453762183857,-9.113832549631269,0,Sui,Others,9.39820698703869,39.0,0.009398206987038691,6.973045005736817,$1M-$10M
Bluefin Pro,Derivatives,8690489.07591084,2.593064028969266,5.097514434642164,0,Sui,Derivatives,8.69048907591084,40.0,0.008690489075910841,6.939044217989804,$1M-$10M
Haedal Vault,Farm,6832506.5537492,,,0,Sui,Others,6.8325065537492,41.0,0.0068325065537492,6.834580056940732,$1M-$10M
FlowX V3,Dexs,6771641.815038703,11.206085083027132,0.867495032117688,0,Sui,Others,6.771641815038703,42.0,0.006771641815038703,6.830693978104024,$1M-$10M
Nemo Yield Trading,Yield,4673168.849301122,-1.5903657620488332,14.545842125622356,0,Sui,Yield Farming,4.673168849301122,43.0,0.004673168849301122,6.66961147308401,$1M-$10M
OmniBTC,Lending,4452405.973060376,-2.421861145874061,-7.130805024929813,0,Sui,Lending,4.452405973060376,44.0,0.004452405973060376,6.648594756700759,$1M-$10M
BlueMove DEX,Dexs,4248181.759058567,-4.241504880701328,-10.981649849398876,0,Sui,Others,4.248181759058567,45.0,0.004248181759058567,6.628203089821879,$1M-$10M
Typus Safu,Yield,3815089.813474876,-1.183108319084326,-8.846715146629094,0,Sui,Yield Farming,3.815089813474876,46.0,0.003815089813474876,6.581504766416039,$1M-$10M
Typus Perp,Derivatives,3743542.545230755,-2.256672402438838,-4.375233835242369,0,Sui,Derivatives,3.743542545230755,47.0,0.003743542545230755,6.573282773233779,$1M-$10M
Bridgers,Dexs,2911758.760562769,62.866579616839914,13.795698719711694,0,Sui,Others,2.911758760562769,48.0,0.002911758760562769,6.464155390800221,$1M-$10M
Kriya CLMM,Dexs,2842537.8246142236,-4.2467594303927285,-3.044318296701917,0,Sui,Others,2.8425378246142237,49.0,0.0028425378246142237,6.453706252396516,$1M-$10M
Full Sail,Dexs,1330706.2073720256,4.295275304630081,124.90954919033524,0,Sui,Others,1.3307062073720255,50.0,0.0013307062073720257,6.124082182746635,$1M-$10M
Strater,Yield,1240224.8243242735,13.667987610109291,26.192656394843,0,Sui,Yield Farming,1.2402248243242735,51.0,0.0012402248243242736,6.093500419930744,$1M-$10M
DipCoin AMM,Dexs,1161296.7544407956,-2.354309217710693,4.821047510339653,0,Sui,Others,1.1612967544407955,52.0,0.0011612967544407957,6.0649432122864235,$1M-$10M
Haedal AMM Protocol,Dexs,1132559.7291907924,-2.1743914388146663,-4.768529486526859,0,Sui,Others,1.1325597291907925,53.0,0.0011325597291907924,6.054061115209321,$1M-$10M
FlowX V2,Dexs,1008842.0287023528,-3.5367568327243646,-9.42586780251034,0,Sui,Others,1.0088420287023527,54.0,0.0010088420287023528,6.003823166797875,$1M-$10M
Winter Walrus,Liquid Staking,985603.9111715108,-6.024948129953017,-4.9955115597651485,0,Sui,Liquid Staking,0.9856039111715108,55.0,0.000985603911171511,5.993702418234347,<$1M
Sudo Perps,Derivatives,936674.455517778,-3.2518139005524205,-51.92271279519189,0,Sui,Derivatives,0.936674455517778,56.0,0.0009366744555177781,5.971588676545909,<$1M
Liquid Agents,Liquid Staking,672092.2852454844,-39.030422993052646,-48.15753730864423,0,Sui,Liquid Staking,0.6720922852454845,57.0,0.0006720922852454845,5.827428910287634,<$1M
ZO Perps,Derivatives,600718.7534479573,-6.091756767920771,29.69778932154983,0,Sui,Derivatives,0.6007187534479573,58.0,0.0006007187534479573,5.778671190115882,<$1M
Streamflow,Payments,542712.9715634348,-0.4222986301800233,-14.073292381792768,0,Sui,Others,0.5427129715634348,59.0,0.0005427129715634348,5.734570201920543,<$1M
Bluefin Legacy,Derivatives,407309.0435853956,-0.0789055533358293,-3.4823890427907713,0,Sui,Derivatives,0.4073090435853956,60.0,0.0004073090435853956,5.609924052942937,<$1M
Kriya Strats,Yield,337326.886400492,-33.85759785271942,-28.08300756216117,0,Sui,Yield Farming,0.3373268864004919,61.0,0.000337326886400492,5.528050957702754,<$1M
Kriya AMM,Dexs,314848.8601237536,-3.2308802166361517,-8.420955843000272,0,Sui,Others,0.3148488601237536,62.0,0.0003148488601237536,5.498102125324726,<$1M
SuiDollar,Basis Trading,249676.05380255,-0.0101019092608538,-0.0098018819613372,0,Sui,Others,0.24967605380255,63.0,0.00024967605380255003,5.397376891569962,<$1M
Nemo Floating Assets,Yield,235250.2268358019,-2.2232616084386763,,0,Sui,Yield Farming,0.2352502268358019,64.0,0.0002352502268358019,5.371530050860143,<$1M
ABEx Finance,Derivatives,60677.50342534861,-2.920606692242117,-5.918310505052844,0,Sui,Derivatives,0.0606775034253486,65.0,6.067750342534861e-05,4.783027703444618,<$1M
Sui Pearl,Yield Aggregator,57999.894848086726,-3.312417257875694,-7.284602646777444,0,Sui,Others,0.0579998948480867,66.0,5.799989484808673e-05,4.7634272062019525,<$1M
Weiss Finance,CDP,22958.166,-4.481792717086847,-5.625622618511159,0,Sui,Others,0.022958166,67.0,2.2958166e-05,4.360937191744543,<$1M
Jackson Protocol,Prediction Market,22779.8094954973,-2.749144506671115,-8.936117091438177,0,Sui,Others,0.0227798094954972,68.0,2.27798094954973e-05,4.357550087811552,<$1M
AnimeSwap,Dexs,20272.060766867304,-1.377342822560408,-4.52930260793751,0,Sui,Others,0.0202720607668673,69.0,2.0272060766867305e-05,4.3068978993682725,<$1M
BaySwap,Dexs,18532.58349475577,-1.9388550679251892,-3.922246574052238,0,Sui,Others,0.0185325834947557,70.0,1.853258349475577e-05,4.267935965422946,<$1M
Sui Rewards Me,Dexs,18527.448384597177,-10.996303120435954,-23.22155699909908,0,Sui,Others,0.0185274483845971,71.0,1.8527448384597176e-05,4.267815612044547,<$1M
Interest Protocol-SUI,Dexs,9282.23744463248,-1.9006657692056308,-5.0784004134432905,0,Sui,Others,0.0092822374446324,72.0,9.28223744463248e-06,3.967652673711829,<$1M
Interest Protocol Stable Swap,Dexs,6065.744356990778,-3.9601593676441382,-35.349461489135706,0,Sui,Others,0.0060657443569907,73.0,6.0657443569907784e-06,3.7828841028609306,<$1M
Poseidollar,Algo-Stables,1176.9958778988907,-0.0032660546976757,-0.2468137753919137,0,Sui,Others,0.0011769958778988,74.0,1.1769958778988907e-06,3.070774941850316,<$1M
DegenHive LST,Liquid Staking,665.6444192267801,-3.3802816901408335,-6.872767235060607,0,Sui,Liquid Staking,0.0006656444192267,75.0,6.656444192267801e-07,2.823242295225892,<$1M
DegenHive AMM,Dexs,340.44129480996605,-3.6522209308764104,-8.655502157147822,0,Sui,Others,0.0003404412948099,76.0,3.404412948099661e-07,2.532042233611054,<$1M
DegenHive Memepad,Launchpad,84.18152733963001,-3.3802816901408335,-7.79569892473117,0,Sui,Launchpad,8.418152733963001e-05,77.0,8.418152733963001e-08,1.9252168010646036,<$1M
